ID,Transaction,Time,Item -code ,NumberOfItemsPurchased,CostPerItem,CITY
1142,1891,Fri Nov 09 08:44:00 IST 2018,555,30,1.73,Ras Al Khaimah
754,2090,Tue Dec 04 05:52:00 IST 2018,466,108,0.58,Ras Al Khaimah
1362,1780,Mon Nov 26 05:27:00 IST 2018,496,36,2.28,Ras Al Khaimah
1026,1882,Tue Oct 02 09:54:00 IST 2018,249,108,0.53,Ras Al Khaimah
1339,1849,Sun Oct 28 05:34:00 IST 2018,618,18,6.84,Ras Al Khaimah
1410,2016,Fri Jan 18 07:55:00 IST 2019,664,3,1.73,Ras Al Khaimah
362,1772,Sun Jul 01 12:52:00 IST 2018,524,6,1.73,Ras Al Khaimah
456,1951,Wed Nov 28 08:50:00 IST 2018,241,6,11.39,Ras Al Khaimah
804,2029,Sun Feb 25 12:39:00 IST 2018,411,6,0.58,Ras Al Khaimah
1170,1959,Sat Jan 12 09:35:00 IST 2019,254,18,4.08,Ras Al Khaimah
941,1817,Sun Apr 01 13:34:00 IST 2018,491,6,11.45,Ras Al Khaimah
1559,1899,Tue May 29 14:14:00 IST 2018,631,-3,2.9,Ras Al Khaimah
224,2090,Tue Dec 04 09:31:00 IST 2018,280,216,0.54,Ras Al Khaimah
1174,1985,Wed Feb 20 06:03:00 IST 2019,476,3,8,Ras Al Khaimah
1789,1814,Mon Jan 14 11:33:00 IST 2019,617,3,80.45,Ras Al Khaimah
593,1928,Wed Aug 08 11:18:00 IST 2018,314,12,2.25,Ras Al Khaimah
359,1886,Mon Dec 17 11:52:00 IST 2018,388,6,3.44,Umm Al Quwain
1132,1789,Sun Jan 27 04:50:00 IST 2019,437,270,2.01,Ras Al Khaimah
681,1887,Tue May 01 06:11:00 IST 2018,655,15,5.7,Ras Al Khaimah
1237,1855,Tue Sep 04 11:35:00 IST 2018,303,3,2.25,Ras Al Khaimah
1656,1774,Mon Jan 07 06:03:00 IST 2019,348,144,3.52,Ras Al Khaimah
1583,1845,Mon Jan 28 06:34:00 IST 2019,649,36,0.58,Ras Al Khaimah
1606,2074,Sun Dec 02 07:39:00 IST 2018,444,36,2.28,Ras Al Khaimah
1724,1849,Fri Jan 18 09:53:00 IST 2019,245,3,0.76,Ras Al Khaimah
1464,2062,Wed Mar 21 09:55:00 IST 2018,516,18,2.94,Ras Al Khaimah
360,1941,Sun Oct 28 09:50:00 IST 2018,366,6,2.9,Ras Al Khaimah
1037,1948,Sun Dec 02 08:53:00 IST 2018,542,6,4.08,Ras Al Khaimah
1006,2027,Sun Feb 10 08:09:00 IST 2019,402,15,4.08,Ras Al Khaimah
1732,1927,Sat Jul 21 09:10:00 IST 2018,680,9,4.08,Ras Al Khaimah
1101,1811,Tue Jan 22 08:27:00 IST 2019,599,6,3.52,Ras Al Khaimah
570,1868,Wed Apr 04 09:21:00 IST 2018,569,6,2.7,Ras Al Khaimah
1917,2096,Sat Feb 24 08:57:00 IST 2018,448,18,0.58,Ras Al Khaimah
1948,2013,Sun Sep 16 13:09:00 IST 2018,533,3,3.4,Ras Al Khaimah
1296,2091,Fri Jan 11 10:04:00 IST 2019,375,6,8.22,Ras Al Khaimah
817,2008,Mon Jun 11 12:34:00 IST 2018,274,3,3.4,Ras Al Khaimah
817,2063,Tue Jun 26 04:32:00 IST 2018,377,72,0.41,Ras Al Khaimah
1880,2037,Fri Feb 01 09:08:00 IST 2019,642,3,4.08,Ras Al Khaimah
1634,1878,Sun Mar 18 11:43:00 IST 2018,574,48,2.7,Ras Al Khaimah
263,1795,Wed Feb 06 07:41:00 IST 2019,316,3,1.18,Ras Al Khaimah
1583,2023,Mon Jun 04 06:43:00 IST 2018,345,36,1.18,Ras Al Khaimah
370,1947,Wed Feb 21 10:59:00 IST 2018,652,3,3.47,Ras Al Khaimah
1283,1878,Wed Jan 23 06:32:00 IST 2019,294,18,6.84,Umm Al Quwain
1214,2030,Fri Jul 20 08:58:00 IST 2018,438,3,0.76,Ras Al Khaimah
1637,1949,Sat Aug 04 07:49:00 IST 2018,276,3,1.18,Ras Al Khaimah
220,1836,Sun Dec 23 05:19:00 IST 2018,460,36,0.41,Umm Al Quwain
1560,1905,Sat Nov 03 09:40:00 IST 2018,480,3,2.28,Ras Al Khaimah
1834,2036,Wed Jun 27 06:41:00 IST 2018,416,3,10.3,Ras Al Khaimah
957,2007,Mon Feb 11 10:17:00 IST 2019,337,3,1.18,Ras Al Khaimah
873,1946,Tue May 08 06:29:00 IST 2018,431,3,4.08,Ras Al Khaimah
1364,1939,Sat Feb 09 11:31:00 IST 2019,200,9,1.15,Ras Al Khaimah
1557,1880,Sat Jun 23 11:25:00 IST 2018,429,3,13.74,Ras Al Khaimah
237,2060,Fri Sep 21 09:52:00 IST 2018,365,3,2.28,Ras Al Khaimah
1844,1790,Tue Jan 08 13:56:00 IST 2019,404,36,1.73,Ras Al Khaimah
397,1896,Sun Jan 06 08:11:00 IST 2019,202,12,6.84,Ras Al Khaimah
1988,2014,Sat Mar 31 13:57:00 IST 2018,306,3,8,Ras Al Khaimah
1087,1943,Wed Jan 23 10:25:00 IST 2019,426,327,0.69,Ras Al Khaimah
1511,2003,Tue Nov 27 12:32:00 IST 2018,685,3,1.15,Ras Al Khaimah
312,2012,Tue Nov 20 09:48:00 IST 2018,288,36,2.01,Dubai
255,1781,Mon Nov 12 11:32:00 IST 2018,314,3,14.9,Ras Al Khaimah
235,2001,Sat Jun 02 12:32:00 IST 2018,405,6,0.54,Ras Al Khaimah
1495,1808,Sat Apr 07 05:39:00 IST 2018,432,3,3.4,Ras Al Khaimah
1606,1873,Tue Feb 20 10:09:00 IST 2018,514,3,23.44,Ras Al Khaimah
1348,1926,Wed Feb 21 09:27:00 IST 2018,559,3,1.73,Ras Al Khaimah
1587,1878,Tue Feb 19 10:38:00 IST 2019,567,36,1.15,Ras Al Khaimah
895,1876,Mon Sep 17 10:17:00 IST 2018,326,864,1.18,Umm Al Quwain
1218,1948,Sat Feb 09 10:02:00 IST 2019,682,12,5.18,Ras Al Khaimah
587,1894,Sun Dec 23 09:13:00 IST 2018,588,6,6.84,Ras Al Khaimah
227,1863,Tue Dec 04 10:53:00 IST 2018,537,18,4.08,Ras Al Khaimah
1646,1845,Tue Jan 29 10:08:00 IST 2019,530,6,5.87,Ras Al Khaimah
1544,2094,Tue May 22 08:48:00 IST 2018,660,18,6.84,Umm Al Quwain
522,1928,Fri Jan 11 12:00:00 IST 2019,396,12,11.39,Ras Al Khaimah
1321,1960,Mon Jan 14 10:31:00 IST 2019,451,3,1.1,Ras Al Khaimah
211,1935,Sat Feb 09 09:14:00 IST 2019,495,3,8.22,Ras Al Khaimah
472,1920,Tue Feb 19 12:30:00 IST 2019,367,3,10.3,Ras Al Khaimah
816,2089,Sun Jun 03 12:00:00 IST 2018,691,6,11.39,Umm Al Quwain
1695,1832,Mon Feb 18 06:35:00 IST 2019,566,9,1.15,Ras Al Khaimah
1118,1785,Sat Jun 16 08:28:00 IST 2018,382,-24,17.6,Ras Al Khaimah
1181,2096,Wed Jul 18 10:12:00 IST 2018,500,9,7.53,Ras Al Khaimah
725,1778,Sun Apr 08 09:38:00 IST 2018,315,3,4.08,Ras Al Khaimah
503,1896,Fri Feb 16 09:29:00 IST 2018,421,72,4.08,Ras Al Khaimah
554,1797,Sun Nov 25 12:26:00 IST 2018,450,24,1.18,Ras Al Khaimah
827,1859,Sat Jul 21 12:27:00 IST 2018,567,6,21.8,Ras Al Khaimah
1605,1844,Mon Feb 18 12:47:00 IST 2019,360,30,2.28,Ras Al Khaimah
436,1999,Sun Sep 02 06:48:00 IST 2018,393,6,1.18,Ras Al Khaimah
1367,1897,Sat Feb 16 08:33:00 IST 2019,228,36,1.73,Ras Al Khaimah
1858,1773,Sun Jun 03 05:23:00 IST 2018,621,3,1.15,Ras Al Khaimah
1142,1868,Mon Dec 10 09:32:00 IST 2018,347,60,2.48,Ras Al Khaimah
1353,1946,Sat Jun 16 10:00:00 IST 2018,266,3,3.99,Ras Al Khaimah
826,1932,Fri Feb 01 07:37:00 IST 2019,468,6,6.84,Ras Al Khaimah
708,1907,Tue Aug 14 07:12:00 IST 2018,614,-288,0,Ras Al Khaimah
1240,1779,Tue Jul 31 07:41:00 IST 2018,609,3,0.58,Ras Al Khaimah
1507,1800,Fri Feb 18 14:36:00 IST 2018,241,3,35.18,Ras Al Khaimah
711,2009,Fri Feb 18 11:31:00 IST 2018,273,3,0,Ras Al Khaimah
1817,2023,Fri Feb 08 07:15:00 IST 2019,649,30,9.78,Ras Al Khaimah
554,2038,Fri Oct 19 08:05:00 IST 2018,375,18,1.18,Ras Al Khaimah
648,2023,Sat Apr 14 11:36:00 IST 2018,423,9,24.84,Umm Al Quwain
1104,1921,Fri Oct 26 08:08:00 IST 2018,443,15,2.88,Ras Al Khaimah
1971,1973,Mon Aug 13 08:54:00 IST 2018,331,18,10.98,Ras Al Khaimah
1692,1833,Sun Jun 10 12:40:00 IST 2018,251,87,6.84,Ras Al Khaimah
1827,2079,Mon Jun 04 11:30:00 IST 2018,686,3,1.15,Ras Al Khaimah
1684,1966,Wed Feb 13 07:28:00 IST 2019,356,108,1.18,Ras Al Khaimah
1504,1782,Sun Jan 20 09:10:00 IST 2019,444,9,1.73,Ras Al Khaimah
994,2033,Fri Feb 08 07:57:00 IST 2019,441,3,2.01,Ras Al Khaimah
1567,2026,Tue Dec 18 09:48:00 IST 2018,448,36,0.9,Ras Al Khaimah
930,1904,Sat Feb 09 07:18:00 IST 2019,435,3,0.58,Ras Al Khaimah
1465,1937,Fri Sep 14 10:58:00 IST 2018,347,3,5.18,Ras Al Khaimah
1433,1864,Tue Jul 24 04:41:00 IST 2018,614,36,1.15,Ras Al Khaimah
806,2074,Sun Sep 02 12:24:00 IST 2018,517,3,9.15,Ras Al Khaimah
731,2031,Sun Dec 09 06:52:00 IST 2018,407,9,1.15,Ras Al Khaimah
1567,2030,Tue Jun 19 09:19:00 IST 2018,616,24,3.52,Ras Al Khaimah
1603,1775,Sun Jan 27 11:08:00 IST 2019,575,6,5.46,Ras Al Khaimah
1243,2073,Sun May 06 09:47:00 IST 2018,548,6,17.6,Ras Al Khaimah
1620,1876,Sun Mar 04 09:49:00 IST 2018,242,30,4.49,Ras Al Khaimah
1538,1852,Sat Dec 29 11:27:00 IST 2018,501,9,4.55,Ras Al Khaimah
510,1887,Sat Nov 24 09:50:00 IST 2018,258,6,2.28,Ras Al Khaimah
1611,2057,Mon Feb 11 10:11:00 IST 2019,610,3,5.7,Ras Al Khaimah
308,2062,Sun Jul 08 13:02:00 IST 2018,568,3,14.9,Ras Al Khaimah
523,1787,Tue Feb 19 06:24:00 IST 2019,229,12,5.73,Ras Al Khaimah
905,2018,Sun Feb 17 12:26:00 IST 2019,441,12,5.7,Ras Al Khaimah
1229,1959,Sat Sep 29 13:15:00 IST 2018,683,3,0.76,Ras Al Khaimah
1020,1904,Fri Jan 25 10:31:00 IST 2019,574,30,2.7,Umm Al Quwain
1721,2032,Mon Jan 14 10:50:00 IST 2019,230,180,2.56,Ras Al Khaimah
444,1824,Sat Feb 09 06:31:00 IST 2019,659,24,5.87,Umm Al Quwain
1716,1977,Wed Jan 16 10:35:00 IST 2019,341,3,1.18,Ras Al Khaimah
453,1996,Sat May 26 11:40:00 IST 2018,301,6,1.73,Ras Al Khaimah
1514,1851,Sun Feb 03 11:43:00 IST 2019,628,3,1.15,Ras Al Khaimah
977,1969,Tue Dec 04 08:13:00 IST 2018,471,3,10.98,Ras Al Khaimah
340,2071,Sat Aug 04 08:09:00 IST 2018,544,36,2.9,Ras Al Khaimah
1600,2069,Sun Jun 24 10:22:00 IST 2018,673,12,6.84,Ras Al Khaimah
1632,1813,Sat Jan 19 07:32:00 IST 2019,383,12,6.84,Ras Al Khaimah
892,1995,Mon Sep 24 08:18:00 IST 2018,598,18,1.73,Ras Al Khaimah
1645,2075,Fri Feb 01 08:53:00 IST 2019,250,3,5.73,Ras Al Khaimah
1639,1994,Tue Sep 04 06:56:00 IST 2018,441,36,0.58,Dubai
1026,1911,Sat Dec 22 11:39:00 IST 2018,419,36,4.08,Ras Al Khaimah
1302,1857,Sat May 12 06:30:00 IST 2018,560,3,2.28,Ras Al Khaimah
1317,1924,Wed Feb 28 13:17:00 IST 2018,392,3,2.7,Ras Al Khaimah
1137,1971,Mon Aug 27 06:22:00 IST 2018,660,3,11.45,Ras Al Khaimah
291,2004,Wed Nov 14 08:37:00 IST 2018,294,3,10.98,Ras Al Khaimah
747,1855,Mon Jan 07 09:36:00 IST 2019,608,36,2.28,Ras Al Khaimah
1287,1878,Fri Feb 01 09:37:00 IST 2019,370,60,1.73,Ras Al Khaimah
208,1797,Mon Apr 09 06:02:00 IST 2018,552,27,6.84,Umm Al Quwain
458,2023,Mon May 07 09:21:00 IST 2018,535,72,0.58,Ras Al Khaimah
251,1807,Fri Jun 15 08:41:00 IST 2018,644,66,1.18,Ras Al Khaimah
761,1853,Tue Sep 04 14:44:00 IST 2018,424,9,10.98,Ras Al Khaimah
300,1861,Fri Feb 16 08:43:00 IST 2018,678,6,2.9,Ras Al Khaimah
1285,1889,Sat Feb 02 11:18:00 IST 2019,570,3,5.15,Ras Al Khaimah
616,1951,Fri Jul 13 08:09:00 IST 2018,676,54,4.08,Ras Al Khaimah
676,1908,Sat Jun 09 11:45:00 IST 2018,537,3,2.25,Ras Al Khaimah
442,2029,Tue Oct 02 08:25:00 IST 2018,670,72,2.01,Ras Al Khaimah
622,1934,Mon May 07 08:50:00 IST 2018,551,6,11.73,Ras Al Khaimah
1094,2063,Wed Jun 13 06:43:00 IST 2018,300,12,10.56,Ras Al Khaimah
970,1965,Tue Oct 02 05:30:00 IST 2018,499,6,17.2,Ras Al Khaimah
1621,1832,Wed Dec 26 13:17:00 IST 2018,683,3,4.55,Ras Al Khaimah
321,1862,Sat Dec 15 05:44:00 IST 2018,283,36,2.01,Ras Al Khaimah
452,1785,Sun Jun 03 11:20:00 IST 2018,351,18,1.18,Ras Al Khaimah
532,1875,Mon Oct 08 05:32:00 IST 2018,440,144,0.54,Ajman
544,1827,Mon May 07 05:30:00 IST 2018,474,75,0.58,Ras Al Khaimah
384,1956,Wed Feb 13 08:36:00 IST 2019,446,18,0.54,Ras Al Khaimah
393,1913,Mon Dec 24 11:39:00 IST 2018,485,60,2.88,Ras Al Khaimah
1168,1940,Fri Feb 15 10:55:00 IST 2019,282,6,1.73,Ras Al Khaimah
794,1777,Fri Dec 28 07:31:00 IST 2018,266,9,0.58,Ras Al Khaimah
1331,1809,Fri Jul 20 08:36:00 IST 2018,588,6,1.18,Ras Al Khaimah
1155,2098,Sat Feb 09 07:42:00 IST 2019,246,72,2.7,Ras Al Khaimah
683,1806,Wed Sep 19 09:00:00 IST 2018,217,30,2.28,Ras Al Khaimah
609,2083,Sat Apr 14 11:17:00 IST 2018,395,18,4.08,Ras Al Khaimah
1723,1808,Wed Jul 18 04:19:00 IST 2018,253,12,5.18,Umm Al Quwain
662,1905,Tue Nov 27 12:37:00 IST 2018,295,15,3.4,Ras Al Khaimah
767,1956,Wed Feb 28 13:08:00 IST 2018,218,6,1.18,Ras Al Khaimah
1861,1887,Sun Nov 11 08:10:00 IST 2018,611,3,4.55,Ras Al Khaimah
937,1804,Sat Dec 22 08:37:00 IST 2018,209,6,7.94,Umm Al Quwain
965,1892,Tue Apr 03 09:49:00 IST 2018,640,30,2.7,Ajman
1725,1877,Wed Jun 27 10:05:00 IST 2018,349,72,0.58,Ras Al Khaimah
432,1977,Sat Aug 18 09:24:00 IST 2018,210,3,2.88,Ras Al Khaimah
1791,2062,Mon Oct 29 10:22:00 IST 2018,370,9,1.73,Ras Al Khaimah
1519,1884,Sun Sep 16 06:39:00 IST 2018,290,24,4.08,Ras Al Khaimah
927,2070,Tue Aug 21 03:53:00 IST 2018,519,18,4.08,Ras Al Khaimah
1949,1962,Tue Feb 19 11:31:00 IST 2019,473,36,1.73,Ras Al Khaimah
415,1896,Sun Jun 17 06:58:00 IST 2018,548,18,2.9,Ajman
1516,1814,Mon Dec 10 09:13:00 IST 2018,545,144,1.15,Ras Al Khaimah
451,1792,Tue Aug 28 09:14:00 IST 2018,642,144,0.09,Ras Al Khaimah
1446,2099,Mon Feb 26 05:07:00 IST 2018,209,72,1.73,Ras Al Khaimah
1236,1821,Tue May 29 16:18:00 IST 2018,424,6,5.18,Ras Al Khaimah
560,1938,Fri Feb 18 05:57:00 IST 2018,423,36,2.28,Ras Al Khaimah
417,2047,Tue Jul 24 06:18:00 IST 2018,275,18,3.44,Ras Al Khaimah
1839,1998,Tue Jan 22 15:53:00 IST 2019,601,9,11.39,Ras Al Khaimah
1211,1895,Sat Feb 17 12:57:00 IST 2018,300,3,3.47,Ras Al Khaimah
1168,1773,Wed Jan 23 06:45:00 IST 2019,524,36,1.18,Ras Al Khaimah
1654,1963,Sun Feb 17 10:50:00 IST 2019,591,72,1.73,Ras Al Khaimah
1428,1852,Sun Aug 19 08:34:00 IST 2018,440,3,2.28,Ras Al Khaimah
823,1990,Fri Feb 18 11:34:00 IST 2018,683,3,10.52,Ras Al Khaimah
582,2079,Sun Sep 09 07:44:00 IST 2018,556,6,10.98,Ras Al Khaimah
1854,1946,Wed Feb 21 08:20:00 IST 2018,545,3,2.28,Ras Al Khaimah
807,2001,Sat Apr 14 09:27:00 IST 2018,232,21,24.84,Dubai
1212,1812,Mon Aug 06 13:12:00 IST 2018,618,6,4.08,Ras Al Khaimah
1695,2081,Mon Feb 19 08:46:00 IST 2018,678,6,1.73,Ras Al Khaimah
1870,2013,Fri Jan 11 12:15:00 IST 2019,229,3,6.84,Ras Al Khaimah
781,1864,Mon Dec 31 09:23:00 IST 2018,643,9,17.25,Ras Al Khaimah
1551,1873,Tue Dec 18 09:48:00 IST 2018,453,36,2.28,Ras Al Khaimah
1960,2011,Sun Jan 13 08:18:00 IST 2019,667,9,8.22,Umm Al Quwain
391,1977,Sun Oct 07 12:25:00 IST 2018,425,3,4.55,Ras Al Khaimah
1933,2069,Sat Aug 18 11:06:00 IST 2018,600,72,0.76,Ras Al Khaimah
1635,2012,Sun Aug 05 11:52:00 IST 2018,293,3,2.25,Ras Al Khaimah
365,2059,Fri Feb 01 10:43:00 IST 2019,529,6,2.88,Ras Al Khaimah
847,2055,Mon Dec 03 11:22:00 IST 2018,423,3,2.25,Ras Al Khaimah
837,1886,Sun Aug 05 07:45:00 IST 2018,284,24,5.18,Ras Al Khaimah
315,1942,Fri Feb 16 06:54:00 IST 2018,631,3,2.7,Ras Al Khaimah
1923,1804,Tue Jun 26 08:42:00 IST 2018,365,18,4.08,Ras Al Khaimah
881,2047,Tue Feb 20 08:05:00 IST 2018,619,72,10.56,Ajman
273,2034,Sat Jun 23 04:16:00 IST 2018,477,36,0.58,Ras Al Khaimah
804,1838,Sat Feb 16 10:51:00 IST 2019,480,36,2.28,Ras Al Khaimah
825,1837,Tue May 22 08:16:00 IST 2018,576,300,1,Ras Al Khaimah
618,1935,Mon Oct 22 12:56:00 IST 2018,564,3,1.15,Ras Al Khaimah
1931,1774,Mon Aug 20 11:22:00 IST 2018,520,3,10.3,Ras Al Khaimah
816,2069,Mon Dec 10 11:21:00 IST 2018,383,30,1.73,Ras Al Khaimah
1200,1985,Tue Sep 18 12:30:00 IST 2018,242,9,1.15,Ras Al Khaimah
331,1824,Sat Aug 04 07:44:00 IST 2018,251,72,1.15,Ras Al Khaimah
1517,1825,Sun Feb 03 09:25:00 IST 2019,259,3,2.9,Ras Al Khaimah
1031,2026,Sat Feb 17 09:13:00 IST 2018,409,6,0.9,Ras Al Khaimah
1422,1816,Sat Nov 24 08:51:00 IST 2018,212,36,4.49,Ras Al Khaimah
1211,1826,Mon Feb 18 12:56:00 IST 2019,557,9,5.87,Ras Al Khaimah
228,1947,Mon Aug 06 11:31:00 IST 2018,521,30,1.18,Ras Al Khaimah
1782,1843,Sun Dec 23 12:29:00 IST 2018,476,3,4.55,Ras Al Khaimah
1285,1892,Fri Feb 18 14:36:00 IST 2018,263,3,2.3,Ras Al Khaimah
277,2069,Tue Jun 05 07:29:00 IST 2018,407,18,2.7,Ras Al Khaimah
1118,1954,Sat Sep 22 12:21:00 IST 2018,271,3,5.7,Ras Al Khaimah
1080,2093,Mon Jul 16 06:15:00 IST 2018,641,36,1.18,Ras Al Khaimah
1917,1785,Mon Sep 24 06:09:00 IST 2018,245,9,6.84,Ras Al Khaimah
1095,1855,Tue Dec 04 13:15:00 IST 2018,308,30,1.18,Umm Al Quwain
1444,1820,Sat Jun 16 08:55:00 IST 2018,361,6,5.87,Ras Al Khaimah
569,1816,Wed Dec 26 13:17:00 IST 2018,446,3,11.45,Ras Al Khaimah
941,1853,Sun Nov 25 08:32:00 IST 2018,537,3,5.7,Ras Al Khaimah
542,2020,Wed Nov 07 10:45:00 IST 2018,690,36,0.58,Ras Al Khaimah
209,1906,Mon Apr 02 08:38:00 IST 2018,385,6,0.58,Ras Al Khaimah
368,1910,Tue Feb 20 10:55:00 IST 2018,430,6,5.18,Umm Al Quwain
727,1957,Tue Jan 22 06:45:00 IST 2019,346,36,2.28,Ras Al Khaimah
1446,1937,Sun Mar 25 04:45:00 IST 2018,325,72,0.58,Ras Al Khaimah
1718,2094,Sat Nov 03 06:59:00 IST 2018,626,24,5.18,Ras Al Khaimah
409,1961,Fri Jan 04 09:49:00 IST 2019,272,18,1.18,Ras Al Khaimah
462,1804,Sun Dec 09 14:41:00 IST 2018,486,3,11.45,Ras Al Khaimah
1143,1949,Sat Mar 24 05:43:00 IST 2018,532,9,1.77,Ras Al Khaimah
1253,1947,Mon Sep 24 08:06:00 IST 2018,378,3,0.76,Ras Al Khaimah
580,1833,Sun Jul 29 09:20:00 IST 2018,271,6,1.73,Ras Al Khaimah
1618,2081,Wed Jan 30 11:54:00 IST 2019,496,72,1.73,Ras Al Khaimah
353,2086,Sun Nov 11 08:26:00 IST 2018,292,3,2.25,Ras Al Khaimah
693,2048,Sat Jun 30 09:46:00 IST 2018,577,6,3.52,Ras Al Khaimah
1589,1776,Tue Oct 16 12:07:00 IST 2018,590,3,23.4,Ras Al Khaimah
632,1845,Tue Jan 29 05:51:00 IST 2019,563,24,5.87,Dubai
432,1779,Sat Jun 16 07:28:00 IST 2018,486,3,9.6,Ras Al Khaimah
1914,1956,Sat Jun 30 11:31:00 IST 2018,666,3,17.6,Ras Al Khaimah
1943,1771,Tue Jan 29 09:46:00 IST 2019,558,18,5.73,Ajman
