ID,Transaction,Time,Item -code,Quantity,CostPerItem,CITY,Total_Cost,Clusters,group
1180,2074,Fri Jan 25 06:35:00 IST 2019,290,30,1.18,Ras Al Khaimah,35.4,2,risk
1366,2004,Sat Mar 03 06:14:00 IST 2018,513,3,15.21,Ras Al Khaimah,45.63,3,good
510,1987,Tue Mar 27 10:29:00 IST 2018,308,12,5.7,Ras Al Khaimah,68.4,2,risk
1764,1995,Mon Jul 30 11:35:00 IST 2018,465,9,2.7,Ras Al Khaimah,24.3,3,good
1084,1999,Sat Apr 21 08:05:00 IST 2018,501,6,1.18,Ras Al Khaimah,7.08,1,higth_risk
1223,2022,Sun Mar 18 07:30:00 IST 2018,243,15,4.08,Ras Al Khaimah,61.2,2,risk
769,2052,Wed Feb 13 08:59:00 IST 2019,633,3,5.87,Ras Al Khaimah,17.61,1,higth_risk
730,1800,Wed May 09 10:25:00 IST 2018,210,72,0.76,Ras Al Khaimah,54.72,4,v.good
1803,1808,Sat Feb 24 12:46:00 IST 2018,576,3,5.18,Ras Al Khaimah,15.54,3,good
1646,2062,Sat Jan 26 11:37:00 IST 2019,553,72,0.76,Umm Al Quwain,54.72,3,good
788,2052,Sun Jul 22 11:06:00 IST 2018,448,3,5.7,Ras Al Khaimah,17.1,1,higth_risk
355,1936,Sun Oct 28 09:50:00 IST 2018,248,6,2.9,Ras Al Khaimah,17.4,4,v.good
1313,1958,Sun Apr 08 08:31:00 IST 2018,383,90,2.28,Ras Al Khaimah,205.2,2,risk
1423,1833,Tue Nov 20 11:16:00 IST 2018,356,72,0.54,Ras Al Khaimah,38.88,4,v.good
916,2019,Mon Sep 17 08:56:00 IST 2018,618,72,4.68,Ras Al Khaimah,336.96,1,higth_risk
238,1924,Sun Sep 16 11:31:00 IST 2018,592,3,2.25,Ras Al Khaimah,6.75,1,higth_risk
1149,1941,Mon Oct 15 06:45:00 IST 2018,384,48,1.73,Ras Al Khaimah,83.03999999999999,2,risk
1474,1870,Sun Dec 23 06:33:00 IST 2018,416,72,0.54,Ras Al Khaimah,38.88,3,good
1912,1770,Sun Dec 30 10:47:00 IST 2018,264,18,2.7,Ras Al Khaimah,48.6,4,v.good
1423,2069,Mon Feb 04 07:18:00 IST 2019,564,12,6.84,Ras Al Khaimah,82.08,3,good
971,1922,Tue Feb 12 06:18:00 IST 2019,366,24,2.7,Ras Al Khaimah,64.80000000000001,4,v.good
1410,2063,Fri Dec 07 07:30:00 IST 2018,336,24,6.84,Dubai,164.16,2,risk
236,1964,Sun Feb 17 12:26:00 IST 2019,538,6,2.25,Ras Al Khaimah,13.5,1,higth_risk
1142,1891,Fri Nov 09 08:44:00 IST 2018,555,30,1.73,Ras Al Khaimah,51.9,3,good
754,2090,Tue Dec 04 05:52:00 IST 2018,466,108,0.58,Ras Al Khaimah,62.63999999999999,1,higth_risk
1362,1780,Mon Nov 26 05:27:00 IST 2018,496,36,2.28,Ras Al Khaimah,82.08,3,good
1026,1882,Tue Oct 02 09:54:00 IST 2018,249,108,0.53,Ras Al Khaimah,57.24,4,v.good
1339,1849,Sun Oct 28 05:34:00 IST 2018,618,18,6.84,Ras Al Khaimah,123.12,3,good
1410,2016,Fri Jan 18 07:55:00 IST 2019,664,3,1.73,Ras Al Khaimah,5.1899999999999995,3,good
362,1772,Sun Jul 01 12:52:00 IST 2018,524,6,1.73,Ras Al Khaimah,10.379999999999999,4,v.good
456,1951,Wed Nov 28 08:50:00 IST 2018,241,6,11.39,Ras Al Khaimah,68.34,4,v.good
804,2029,Sun Feb 25 12:39:00 IST 2018,411,6,0.58,Ras Al Khaimah,3.4799999999999995,1,higth_risk
1170,1959,Sat Jan 12 09:35:00 IST 2019,254,18,4.08,Ras Al Khaimah,73.44,2,risk
941,1817,Sun Apr 01 13:34:00 IST 2018,491,6,11.45,Ras Al Khaimah,68.69999999999999,4,v.good
224,2090,Tue Dec 04 09:31:00 IST 2018,280,216,0.54,Ras Al Khaimah,116.64000000000001,2,risk
1174,1985,Wed Feb 20 06:03:00 IST 2019,476,3,8.0,Ras Al Khaimah,24.0,3,good
1789,1814,Mon Jan 14 11:33:00 IST 2019,617,3,80.45,Ras Al Khaimah,241.35000000000002,3,good
593,1928,Wed Aug 08 11:18:00 IST 2018,314,12,2.25,Ras Al Khaimah,27.0,4,v.good
359,1886,Mon Dec 17 11:52:00 IST 2018,388,6,3.44,Umm Al Quwain,20.64,4,v.good
1132,1789,Sun Jan 27 04:50:00 IST 2019,437,270,2.01,Ras Al Khaimah,542.6999999999999,4,v.good
681,1887,Tue May 01 06:11:00 IST 2018,655,15,5.7,Ras Al Khaimah,85.5,1,higth_risk
1237,1855,Tue Sep 04 11:35:00 IST 2018,303,3,2.25,Ras Al Khaimah,6.75,4,v.good
1656,1774,Mon Jan 07 06:03:00 IST 2019,348,144,3.52,Ras Al Khaimah,506.88,4,v.good
1583,1845,Mon Jan 28 06:34:00 IST 2019,649,36,0.58,Ras Al Khaimah,20.88,3,good
1606,2074,Sun Dec 02 07:39:00 IST 2018,444,36,2.28,Ras Al Khaimah,82.08,2,risk
1724,1849,Fri Jan 18 09:53:00 IST 2019,245,3,0.76,Ras Al Khaimah,2.2800000000000002,4,v.good
1464,2062,Wed Mar 21 09:55:00 IST 2018,516,18,2.94,Ras Al Khaimah,52.92,3,good
360,1941,Sun Oct 28 09:50:00 IST 2018,366,6,2.9,Ras Al Khaimah,17.4,1,higth_risk
1037,1948,Sun Dec 02 08:53:00 IST 2018,542,6,4.08,Ras Al Khaimah,24.48,1,higth_risk
1006,2027,Sun Feb 10 08:09:00 IST 2019,402,15,4.08,Ras Al Khaimah,61.2,2,risk
1732,1927,Sat Jul 21 09:10:00 IST 2018,680,9,4.08,Ras Al Khaimah,36.72,3,good
1101,1811,Tue Jan 22 08:27:00 IST 2019,599,6,3.52,Ras Al Khaimah,21.12,3,good
570,1868,Wed Apr 04 09:21:00 IST 2018,569,6,2.7,Ras Al Khaimah,16.200000000000003,1,higth_risk
1917,2096,Sat Feb 24 08:57:00 IST 2018,448,18,0.58,Ras Al Khaimah,10.44,2,risk
1948,2013,Sun Sep 16 13:09:00 IST 2018,533,3,3.4,Ras Al Khaimah,10.2,3,good
1296,2091,Fri Jan 11 10:04:00 IST 2019,375,6,8.22,Ras Al Khaimah,49.32000000000001,2,risk
817,2008,Mon Jun 11 12:34:00 IST 2018,274,3,3.4,Ras Al Khaimah,10.2,2,risk
817,2063,Tue Jun 26 04:32:00 IST 2018,377,72,0.41,Ras Al Khaimah,29.52,2,risk
1880,2037,Fri Feb 01 09:08:00 IST 2019,642,3,4.08,Ras Al Khaimah,12.24,3,good
1634,1878,Sun Mar 18 11:43:00 IST 2018,574,48,2.7,Ras Al Khaimah,129.60000000000002,3,good
263,1795,Wed Feb 06 07:41:00 IST 2019,316,3,1.18,Ras Al Khaimah,3.54,4,v.good
1583,2023,Mon Jun 04 06:43:00 IST 2018,345,36,1.18,Ras Al Khaimah,42.48,2,risk
370,1947,Wed Feb 21 10:59:00 IST 2018,652,3,3.47,Ras Al Khaimah,10.41,1,higth_risk
1283,1878,Wed Jan 23 06:32:00 IST 2019,294,18,6.84,Umm Al Quwain,123.12,4,v.good
1214,2030,Fri Jul 20 08:58:00 IST 2018,438,3,0.76,Ras Al Khaimah,2.2800000000000002,2,risk
1637,1949,Sat Aug 04 07:49:00 IST 2018,276,3,1.18,Ras Al Khaimah,3.54,2,risk
220,1836,Sun Dec 23 05:19:00 IST 2018,460,36,0.41,Umm Al Quwain,14.76,4,v.good
1560,1905,Sat Nov 03 09:40:00 IST 2018,480,3,2.28,Ras Al Khaimah,6.84,3,good
1834,2036,Wed Jun 27 06:41:00 IST 2018,416,3,10.3,Ras Al Khaimah,30.900000000000002,2,risk
957,2007,Mon Feb 11 10:17:00 IST 2019,337,3,1.18,Ras Al Khaimah,3.54,2,risk
873,1946,Tue May 08 06:29:00 IST 2018,431,3,4.08,Ras Al Khaimah,12.24,1,higth_risk
1364,1939,Sat Feb 09 11:31:00 IST 2019,200,9,1.15,Ras Al Khaimah,10.35,2,risk
1557,1880,Sat Jun 23 11:25:00 IST 2018,429,3,13.74,Ras Al Khaimah,41.22,3,good
237,2060,Fri Sep 21 09:52:00 IST 2018,365,3,2.28,Ras Al Khaimah,6.84,1,higth_risk
1844,1790,Tue Jan 08 13:56:00 IST 2019,404,36,1.73,Ras Al Khaimah,62.28,3,good
397,1896,Sun Jan 06 08:11:00 IST 2019,202,12,6.84,Ras Al Khaimah,82.08,4,v.good
1988,2014,Sat Mar 31 13:57:00 IST 2018,306,3,8.0,Ras Al Khaimah,24.0,2,risk
1087,1943,Wed Jan 23 10:25:00 IST 2019,426,327,0.69,Ras Al Khaimah,225.63,2,risk
1511,2003,Tue Nov 27 12:32:00 IST 2018,685,3,1.15,Ras Al Khaimah,3.4499999999999997,3,good
312,2012,Tue Nov 20 09:48:00 IST 2018,288,36,2.01,Dubai,72.35999999999999,2,risk
255,1781,Mon Nov 12 11:32:00 IST 2018,314,3,14.9,Ras Al Khaimah,44.7,4,v.good
235,2001,Sat Jun 02 12:32:00 IST 2018,405,6,0.54,Ras Al Khaimah,3.24,1,higth_risk
1495,1808,Sat Apr 07 05:39:00 IST 2018,432,3,3.4,Ras Al Khaimah,10.2,4,v.good
1606,1873,Tue Feb 20 10:09:00 IST 2018,514,3,23.44,Ras Al Khaimah,70.32000000000001,3,good
1348,1926,Wed Feb 21 09:27:00 IST 2018,559,3,1.73,Ras Al Khaimah,5.1899999999999995,3,good
1587,1878,Tue Feb 19 10:38:00 IST 2019,567,36,1.15,Ras Al Khaimah,41.4,3,good
895,1876,Mon Sep 17 10:17:00 IST 2018,326,864,1.18,Umm Al Quwain,1019.52,2,risk
1218,1948,Sat Feb 09 10:02:00 IST 2019,682,12,5.18,Ras Al Khaimah,62.16,3,good
587,1894,Sun Dec 23 09:13:00 IST 2018,588,6,6.84,Ras Al Khaimah,41.04,1,higth_risk
227,1863,Tue Dec 04 10:53:00 IST 2018,537,18,4.08,Ras Al Khaimah,73.44,1,higth_risk
1646,1845,Tue Jan 29 10:08:00 IST 2019,530,6,5.87,Ras Al Khaimah,35.22,3,good
1544,2094,Tue May 22 08:48:00 IST 2018,660,18,6.84,Umm Al Quwain,123.12,3,good
522,1928,Fri Jan 11 12:00:00 IST 2019,396,12,11.39,Ras Al Khaimah,136.68,1,higth_risk
1321,1960,Mon Jan 14 10:31:00 IST 2019,451,3,1.1,Ras Al Khaimah,3.3000000000000003,3,good
211,1935,Sat Feb 09 09:14:00 IST 2019,495,3,8.22,Ras Al Khaimah,24.660000000000004,1,higth_risk
472,1920,Tue Feb 19 12:30:00 IST 2019,367,3,10.3,Ras Al Khaimah,30.900000000000002,4,v.good
816,2089,Sun Jun 03 12:00:00 IST 2018,691,6,11.39,Umm Al Quwain,68.34,1,higth_risk
1695,1832,Mon Feb 18 06:35:00 IST 2019,566,9,1.15,Ras Al Khaimah,10.35,3,good
1181,2096,Wed Jul 18 10:12:00 IST 2018,500,9,7.53,Ras Al Khaimah,67.77,2,risk
725,1778,Sun Apr 08 09:38:00 IST 2018,315,3,4.08,Ras Al Khaimah,12.24,4,v.good
503,1896,Fri Feb 16 09:29:00 IST 2018,421,72,4.08,Ras Al Khaimah,293.76,1,higth_risk
554,1797,Sun Nov 25 12:26:00 IST 2018,450,24,1.18,Ras Al Khaimah,28.32,4,v.good
827,1859,Sat Jul 21 12:27:00 IST 2018,567,6,21.8,Ras Al Khaimah,130.8,1,higth_risk
1605,1844,Mon Feb 18 12:47:00 IST 2019,360,30,2.28,Ras Al Khaimah,68.39999999999999,4,v.good
436,1999,Sun Sep 02 06:48:00 IST 2018,393,6,1.18,Ras Al Khaimah,7.08,1,higth_risk
1367,1897,Sat Feb 16 08:33:00 IST 2019,228,36,1.73,Ras Al Khaimah,62.28,4,v.good
1858,1773,Sun Jun 03 05:23:00 IST 2018,621,3,1.15,Ras Al Khaimah,3.4499999999999997,3,good
1142,1868,Mon Dec 10 09:32:00 IST 2018,347,60,2.48,Ras Al Khaimah,148.8,4,v.good
1353,1946,Sat Jun 16 10:00:00 IST 2018,266,3,3.99,Ras Al Khaimah,11.97,2,risk
826,1932,Fri Feb 01 07:37:00 IST 2019,468,6,6.84,Ras Al Khaimah,41.04,1,higth_risk
1240,1779,Tue Jul 31 07:41:00 IST 2018,609,3,0.58,Ras Al Khaimah,1.7399999999999998,3,good
1507,1800,Fri Feb 18 14:36:00 IST 2018,241,3,35.18,Ras Al Khaimah,105.53999999999999,4,v.good
711,2009,Fri Feb 18 11:31:00 IST 2018,273,3,0.0,Ras Al Khaimah,0.0,2,risk
1817,2023,Fri Feb 08 07:15:00 IST 2019,649,30,9.78,Ras Al Khaimah,293.4,3,good
554,2038,Fri Oct 19 08:05:00 IST 2018,375,18,1.18,Ras Al Khaimah,21.24,1,higth_risk
648,2023,Sat Apr 14 11:36:00 IST 2018,423,9,24.84,Umm Al Quwain,223.56,1,higth_risk
1104,1921,Fri Oct 26 08:08:00 IST 2018,443,15,2.88,Ras Al Khaimah,43.199999999999996,4,v.good
1971,1973,Mon Aug 13 08:54:00 IST 2018,331,18,10.98,Ras Al Khaimah,197.64000000000001,2,risk
1692,1833,Sun Jun 10 12:40:00 IST 2018,251,87,6.84,Ras Al Khaimah,595.08,2,risk
1827,2079,Mon Jun 04 11:30:00 IST 2018,686,3,1.15,Ras Al Khaimah,3.4499999999999997,3,good
1684,1966,Wed Feb 13 07:28:00 IST 2019,356,108,1.18,Ras Al Khaimah,127.44,2,risk
1504,1782,Sun Jan 20 09:10:00 IST 2019,444,9,1.73,Ras Al Khaimah,15.57,4,v.good
994,2033,Fri Feb 08 07:57:00 IST 2019,441,3,2.01,Ras Al Khaimah,6.029999999999999,2,risk
1567,2026,Tue Dec 18 09:48:00 IST 2018,448,36,0.9,Ras Al Khaimah,32.4,2,risk
930,1904,Sat Feb 09 07:18:00 IST 2019,435,3,0.58,Ras Al Khaimah,1.7399999999999998,4,v.good
1465,1937,Fri Sep 14 10:58:00 IST 2018,347,3,5.18,Ras Al Khaimah,15.54,2,risk
1433,1864,Tue Jul 24 04:41:00 IST 2018,614,36,1.15,Ras Al Khaimah,41.4,3,good
806,2074,Sun Sep 02 12:24:00 IST 2018,517,3,9.15,Ras Al Khaimah,27.450000000000003,1,higth_risk
731,2031,Sun Dec 09 06:52:00 IST 2018,407,9,1.15,Ras Al Khaimah,10.35,1,higth_risk
1567,2030,Tue Jun 19 09:19:00 IST 2018,616,24,3.52,Ras Al Khaimah,84.48,3,good
1603,1775,Sun Jan 27 11:08:00 IST 2019,575,6,5.46,Ras Al Khaimah,32.76,3,good
1243,2073,Sun May 06 09:47:00 IST 2018,548,6,17.6,Ras Al Khaimah,105.60000000000001,1,higth_risk
1620,1876,Sun Mar 04 09:49:00 IST 2018,242,30,4.49,Ras Al Khaimah,134.70000000000002,4,v.good
1538,1852,Sat Dec 29 11:27:00 IST 2018,501,9,4.55,Ras Al Khaimah,40.949999999999996,3,good
510,1887,Sat Nov 24 09:50:00 IST 2018,258,6,2.28,Ras Al Khaimah,13.68,4,v.good
1611,2057,Mon Feb 11 10:11:00 IST 2019,610,3,5.7,Ras Al Khaimah,17.1,3,good
308,2062,Sun Jul 08 13:02:00 IST 2018,568,3,14.9,Ras Al Khaimah,44.7,1,higth_risk
523,1787,Tue Feb 19 06:24:00 IST 2019,229,12,5.73,Ras Al Khaimah,68.76,4,v.good
905,2018,Sun Feb 17 12:26:00 IST 2019,441,12,5.7,Ras Al Khaimah,68.4,1,higth_risk
1229,1959,Sat Sep 29 13:15:00 IST 2018,683,3,0.76,Ras Al Khaimah,2.2800000000000002,3,good
1020,1904,Fri Jan 25 10:31:00 IST 2019,574,30,2.7,Umm Al Quwain,81.0,1,higth_risk
1721,2032,Mon Jan 14 10:50:00 IST 2019,230,180,2.56,Ras Al Khaimah,460.8,2,risk
444,1824,Sat Feb 09 06:31:00 IST 2019,659,24,5.87,Umm Al Quwain,140.88,1,higth_risk
1716,1977,Wed Jan 16 10:35:00 IST 2019,341,3,1.18,Ras Al Khaimah,3.54,2,risk
453,1996,Sat May 26 11:40:00 IST 2018,301,6,1.73,Ras Al Khaimah,10.379999999999999,4,v.good
1514,1851,Sun Feb 03 11:43:00 IST 2019,628,3,1.15,Ras Al Khaimah,3.4499999999999997,3,good
977,1969,Tue Dec 04 08:13:00 IST 2018,471,3,10.98,Ras Al Khaimah,32.94,1,higth_risk
340,2071,Sat Aug 04 08:09:00 IST 2018,544,36,2.9,Ras Al Khaimah,104.39999999999999,1,higth_risk
1600,2069,Sun Jun 24 10:22:00 IST 2018,673,12,6.84,Ras Al Khaimah,82.08,3,good
1632,1813,Sat Jan 19 07:32:00 IST 2019,383,12,6.84,Ras Al Khaimah,82.08,4,v.good
892,1995,Mon Sep 24 08:18:00 IST 2018,598,18,1.73,Ras Al Khaimah,31.14,1,higth_risk
1645,2075,Fri Feb 01 08:53:00 IST 2019,250,3,5.73,Ras Al Khaimah,17.19,2,risk
1639,1994,Tue Sep 04 06:56:00 IST 2018,441,36,0.58,Dubai,20.88,3,good
1026,1911,Sat Dec 22 11:39:00 IST 2018,419,36,4.08,Ras Al Khaimah,146.88,4,v.good
1302,1857,Sat May 12 06:30:00 IST 2018,560,3,2.28,Ras Al Khaimah,6.84,3,good
1317,1924,Wed Feb 28 13:17:00 IST 2018,392,3,2.7,Ras Al Khaimah,8.100000000000001,4,v.good
1137,1971,Mon Aug 27 06:22:00 IST 2018,660,3,11.45,Ras Al Khaimah,34.349999999999994,3,good
291,2004,Wed Nov 14 08:37:00 IST 2018,294,3,10.98,Ras Al Khaimah,32.94,1,higth_risk
747,1855,Mon Jan 07 09:36:00 IST 2019,608,36,2.28,Ras Al Khaimah,82.08,1,higth_risk
1287,1878,Fri Feb 01 09:37:00 IST 2019,370,60,1.73,Ras Al Khaimah,103.8,4,v.good
208,1797,Mon Apr 09 06:02:00 IST 2018,552,27,6.84,Umm Al Quwain,184.68,1,higth_risk
458,2023,Mon May 07 09:21:00 IST 2018,535,72,0.58,Ras Al Khaimah,41.76,1,higth_risk
251,1807,Fri Jun 15 08:41:00 IST 2018,644,66,1.18,Ras Al Khaimah,77.88,1,higth_risk
761,1853,Tue Sep 04 14:44:00 IST 2018,424,9,10.98,Ras Al Khaimah,98.82000000000001,4,v.good
300,1861,Fri Feb 16 08:43:00 IST 2018,678,6,2.9,Ras Al Khaimah,17.4,1,higth_risk
1285,1889,Sat Feb 02 11:18:00 IST 2019,570,3,5.15,Ras Al Khaimah,15.450000000000001,3,good
616,1951,Fri Jul 13 08:09:00 IST 2018,676,54,4.08,Ras Al Khaimah,220.32,1,higth_risk
676,1908,Sat Jun 09 11:45:00 IST 2018,537,3,2.25,Ras Al Khaimah,6.75,1,higth_risk
442,2029,Tue Oct 02 08:25:00 IST 2018,670,72,2.01,Ras Al Khaimah,144.71999999999997,1,higth_risk
622,1934,Mon May 07 08:50:00 IST 2018,551,6,11.73,Ras Al Khaimah,70.38,1,higth_risk
1094,2063,Wed Jun 13 06:43:00 IST 2018,300,12,10.56,Ras Al Khaimah,126.72,2,risk
970,1965,Tue Oct 02 05:30:00 IST 2018,499,6,17.2,Ras Al Khaimah,103.19999999999999,1,higth_risk
1621,1832,Wed Dec 26 13:17:00 IST 2018,683,3,4.55,Ras Al Khaimah,13.649999999999999,3,good
321,1862,Sat Dec 15 05:44:00 IST 2018,283,36,2.01,Ras Al Khaimah,72.35999999999999,4,v.good
452,1785,Sun Jun 03 11:20:00 IST 2018,351,18,1.18,Ras Al Khaimah,21.24,4,v.good
532,1875,Mon Oct 08 05:32:00 IST 2018,440,144,0.54,Ajman,77.76,4,v.good
544,1827,Mon May 07 05:30:00 IST 2018,474,75,0.58,Ras Al Khaimah,43.5,4,v.good
384,1956,Wed Feb 13 08:36:00 IST 2019,446,18,0.54,Ras Al Khaimah,9.72,1,higth_risk
393,1913,Mon Dec 24 11:39:00 IST 2018,485,60,2.88,Ras Al Khaimah,172.79999999999998,1,higth_risk
1168,1940,Fri Feb 15 10:55:00 IST 2019,282,6,1.73,Ras Al Khaimah,10.379999999999999,2,risk
794,1777,Fri Dec 28 07:31:00 IST 2018,266,9,0.58,Ras Al Khaimah,5.22,4,v.good
1331,1809,Fri Jul 20 08:36:00 IST 2018,588,6,1.18,Ras Al Khaimah,7.08,3,good
1155,2098,Sat Feb 09 07:42:00 IST 2019,246,72,2.7,Ras Al Khaimah,194.4,2,risk
683,1806,Wed Sep 19 09:00:00 IST 2018,217,30,2.28,Ras Al Khaimah,68.39999999999999,4,v.good
609,2083,Sat Apr 14 11:17:00 IST 2018,395,18,4.08,Ras Al Khaimah,73.44,1,higth_risk
1723,1808,Wed Jul 18 04:19:00 IST 2018,253,12,5.18,Umm Al Quwain,62.16,4,v.good
662,1905,Tue Nov 27 12:37:00 IST 2018,295,15,3.4,Ras Al Khaimah,51.0,4,v.good
767,1956,Wed Feb 28 13:08:00 IST 2018,218,6,1.18,Ras Al Khaimah,7.08,4,v.good
1861,1887,Sun Nov 11 08:10:00 IST 2018,611,3,4.55,Ras Al Khaimah,13.649999999999999,3,good
937,1804,Sat Dec 22 08:37:00 IST 2018,209,6,7.94,Umm Al Quwain,47.64,4,v.good
965,1892,Tue Apr 03 09:49:00 IST 2018,640,30,2.7,Ajman,81.0,1,higth_risk
1725,1877,Wed Jun 27 10:05:00 IST 2018,349,72,0.58,Ras Al Khaimah,41.76,2,risk
432,1977,Sat Aug 18 09:24:00 IST 2018,210,3,2.88,Ras Al Khaimah,8.64,4,v.good
1791,2062,Mon Oct 29 10:22:00 IST 2018,370,9,1.73,Ras Al Khaimah,15.57,2,risk
1519,1884,Sun Sep 16 06:39:00 IST 2018,290,24,4.08,Ras Al Khaimah,97.92,4,v.good
927,2070,Tue Aug 21 03:53:00 IST 2018,519,18,4.08,Ras Al Khaimah,73.44,1,higth_risk
1949,1962,Tue Feb 19 11:31:00 IST 2019,473,36,1.73,Ras Al Khaimah,62.28,3,good
415,1896,Sun Jun 17 06:58:00 IST 2018,548,18,2.9,Ajman,52.199999999999996,1,higth_risk
1516,1814,Mon Dec 10 09:13:00 IST 2018,545,144,1.15,Ras Al Khaimah,165.6,3,good
451,1792,Tue Aug 28 09:14:00 IST 2018,642,144,0.09,Ras Al Khaimah,12.959999999999999,1,higth_risk
1446,2099,Mon Feb 26 05:07:00 IST 2018,209,72,1.73,Ras Al Khaimah,124.56,2,risk
1236,1821,Tue May 29 16:18:00 IST 2018,424,6,5.18,Ras Al Khaimah,31.08,4,v.good
560,1938,Fri Feb 18 05:57:00 IST 2018,423,36,2.28,Ras Al Khaimah,82.08,1,higth_risk
417,2047,Tue Jul 24 06:18:00 IST 2018,275,18,3.44,Ras Al Khaimah,61.92,2,risk
1839,1998,Tue Jan 22 15:53:00 IST 2019,601,9,11.39,Ras Al Khaimah,102.51,3,good
1211,1895,Sat Feb 17 12:57:00 IST 2018,300,3,3.47,Ras Al Khaimah,10.41,4,v.good
1168,1773,Wed Jan 23 06:45:00 IST 2019,524,36,1.18,Ras Al Khaimah,42.48,4,v.good
1654,1963,Sun Feb 17 10:50:00 IST 2019,591,72,1.73,Ras Al Khaimah,124.56,3,good
1428,1852,Sun Aug 19 08:34:00 IST 2018,440,3,2.28,Ras Al Khaimah,6.84,3,good
823,1990,Fri Feb 18 11:34:00 IST 2018,683,3,10.52,Ras Al Khaimah,31.56,1,higth_risk
582,2079,Sun Sep 09 07:44:00 IST 2018,556,6,10.98,Ras Al Khaimah,65.88,1,higth_risk
1854,1946,Wed Feb 21 08:20:00 IST 2018,545,3,2.28,Ras Al Khaimah,6.84,3,good
